TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3837][ft: f4m] [curTime: 3942.1][curIndex: 4][Buffer: 33.825][BW: 3145.00][Avg BW: 2793.39][Peak BW: 9692.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-11-29 02:05:50.884483 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3850][ft: f4m] [curTime: 3954.633][curIndex: 4][Buffer: 31.296][BW: 6288.00][Avg BW: 3283.06][Peak BW: 9692.00] Log Status Timer | DATE:: 2011-11-29 02:06:03.429720 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3908][ft: f4m] [curTime: 4014.805][curIndex: 4][Buffer: 31.252][BW: 5167.00][Avg BW: 5057.94][Peak BW: 9692.00] Log Status Timer | DATE:: 2011-11-29 02:07:03.458429 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3966][ft: f4m] [curTime: 4074.666][curIndex: 4][Buffer: 31.262][BW: 5471.00][Avg BW: 3647.35][Peak BW: 9692.00] Log Status Timer | DATE:: 2011-11-29 02:08:03.503132 | PORT:: 17095
TICKET:: YiHhBkEIJ5 | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.36][Pt: 0][ft: SMIL] [curTime: 0][curIndex: 0][Buffer: 0][BW: NaN][Avg BW: NaN][Peak BW: 0.00] [tokenService][INFO]User has valid ticket : Attempting Token | DATE:: 2011-11-29 02:08:39.593080 | PORT:: 17092
TICKET:: YiHhBkEIJ5 | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.36][Pt: 0][ft: SMIL] [curTime: 0][curIndex: 0][Buffer: 0][BW: NaN][Avg BW: NaN][Peak BW: 0.00] [tokenService][DEBUG]rawString 
{"fileURL":"http:\/\/conencrypzeri-f.akamaihd.net\/z\/movies\/65\/movie-,min,low,small,medium,large,.mov.csmil\/manifest.f4m"}  filePath  http://conencrypzeri-f.akamaihd.net/z/movies/65/movie-,min,low,small,medium,large,.mov.csmil/manifest.f4m | DATE:: 2011-11-29 02:08:39.908976 | PORT:: 17092
TICKET:: YiHhBkEIJ5 | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.36][Pt: 0][ft: f4m] [curTime: 0][curIndex: 0][Buffer: 0][BW: NaN][Avg BW: NaN][Peak BW: 0.00] [videoView][DEBUG]LOAD MEDIA @ http://conencrypzeri-f.akamaihd.net/z/movies/65/movie-,min,low,small,medium,large,.mov.csmil/manifest.f4m | DATE:: 2011-11-29 02:08:39.931430 | PORT:: 17092
TICKET:: YiHhBkEIJ5 | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.36][Pt: 0][ft: f4m] [curTime: 0][curIndex: 0][Buffer: 0][BW: NaN][Avg BW: NaN][Peak BW: 0.00] [videoView][INFO]Attempting to load media http://conencrypzeri-f.akamaihd.net/z/movies/65/movie-,min,low,small,medium,large,.mov.csmil/manifest.f4m | DATE:: 2011-11-29 02:08:39.943124 | PORT:: 17092
TICKET:: YiHhBkEIJ5 | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.36][Pt: 0][ft: f4m] [curTime: 0][curIndex: 0][Buffer: 0][BW: NaN][Avg BW: NaN][Peak BW: 0.00] [INFO][DEBUG]Attempting to load media from MediaElement | DATE:: 2011-11-29 02:08:39.964493 | PORT:: 17092
