TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15781][ft: SMIL] [curTime: 3319.38][curIndex: 1 of 2][Buffer: 40.799 of 20][isBuffering: false][BW: 678.65][Avg BW: 2737.17][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 430185.18518518517] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 18.585 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:25.885242 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15784][ft: SMIL] [curTime: 3319.88][curIndex: 1 of 2][Buffer: 40.291 of 20][isBuffering: false][BW: 678.65][Avg BW: 2659.66][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 430185.18518518517] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 19.092 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:26.399316 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15786][ft: SMIL] [curTime: 3320.38][curIndex: 1 of 2][Buffer: 39.791 of 20][isBuffering: false][BW: 678.65][Avg BW: 2582.72][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 430185.18518518517] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 19.6 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:26.881355 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15789][ft: SMIL] [curTime: 3320.88][curIndex: 1 of 2][Buffer: 39.291 of 20][isBuffering: false][BW: 678.65][Avg BW: 2504.96][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 430185.18518518517] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 20.12 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:30.640304 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15796][ft: SMIL] [curTime: 3322.50][curIndex: 1 of 2][Buffer: 37.688 of 20][isBuffering: false][BW: 678.65][Avg BW: 2262.35][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 430185.18518518517] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 21.707 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:30.644934 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15798][ft: SMIL] [curTime: 3322.98][curIndex: 1 of 2][Buffer: 37.25 of 20][isBuffering: false][BW: 678.65][Avg BW: 2262.35][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 430185.18518518517] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onPlayStatus() - info.code=NetStream.Play.TransitionComplete | DATE:: 2011-12-07 21:25:30.650393 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15798][ft: SMIL] [curTime: 3322.98][curIndex: 1 of 2][Buffer: 37.25 of 20][isBuffering: false][BW: 678.65][Avg BW: 2262.35][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 430185.18518518517] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onPlayStatus() - Transition complete to index: 1 at 1500 kbps | DATE:: 2011-12-07 21:25:30.651693 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15799][ft: SMIL] [curTime: 3322.98][curIndex: 1 of 2][Buffer: 37.225 of 20][isBuffering: false][BW: 678.65][Avg BW: 2177.84][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 430185.18518518517] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 22.26 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:30.652373 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15808][ft: SMIL] [curTime: 3325.17][curIndex: 1 of 2][Buffer: 35 of 20][isBuffering: false][BW: 678.65][Avg BW: 1852.02][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 430185.18518518517] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 24.382 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:31.678533 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15811][ft: SMIL] [curTime: 3325.67][curIndex: 1 of 2][Buffer: 34.5 of 20][isBuffering: false][BW: 678.65][Avg BW: 1776.27][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 430185.18518518517] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 24.893 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:32.186564 | PORT:: 17094
