TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1204][ft: SMIL] [curTime: 3695.32][curIndex: 0 of 2][Buffer: 39.786 of 20][isBuffering: false][BW: 128.56][Avg BW: 28.37][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 26 > 24 | DATE:: 2011-12-07 00:31:46.183327 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1204][ft: SMIL] [curTime: 3695.85][curIndex: 0 of 2][Buffer: 42.862 of 20][isBuffering: false][BW: 128.56][Avg BW: 28.37][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 26 > 24 | DATE:: 2011-12-07 00:31:46.685578 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1205][ft: SMIL] [curTime: 3696.39][curIndex: 0 of 2][Buffer: 43.083 of 20][isBuffering: false][BW: 103.94][Avg BW: 31.72][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 20 > 20 | DATE:: 2011-12-07 00:31:47.266074 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1205][ft: SMIL] [curTime: 3696.99][curIndex: 0 of 2][Buffer: 42.542 of 20][isBuffering: false][BW: 103.94][Avg BW: 31.72][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 13 > 10 | DATE:: 2011-12-07 00:31:47.785953 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1209][ft: SMIL] [curTime: 3701.49][curIndex: 0 of 2][Buffer: 38.042 of 20][isBuffering: false][BW: 0.00][Avg BW: 33.98][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 11 > 10 | DATE:: 2011-12-07 00:31:52.323770 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1210][ft: SMIL] [curTime: 3701.82][curIndex: 0 of 2][Buffer: 37.542 of 20][isBuffering: false][BW: 0.00][Avg BW: 33.98][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 12 > 10 | DATE:: 2011-12-07 00:31:52.860496 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1210][ft: SMIL] [curTime: 3702.49][curIndex: 0 of 2][Buffer: 37.083 of 20][isBuffering: false][BW: 0.00][Avg BW: 33.98][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 13 > 10 | DATE:: 2011-12-07 00:31:53.500734 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1211][ft: SMIL] [curTime: 3703.21][curIndex: 0 of 2][Buffer: 36.25 of 20][isBuffering: false][BW: 0.00][Avg BW: 33.98][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 13 > 10 | DATE:: 2011-12-07 00:31:54.112117 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1212][ft: SMIL] [curTime: 3703.63][curIndex: 0 of 2][Buffer: 35.708 of 20][isBuffering: false][BW: 0.00][Avg BW: 30.80][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 13 > 10 | DATE:: 2011-12-07 00:31:54.651460 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1212][ft: SMIL] [curTime: 3704.02][curIndex: 0 of 2][Buffer: 35.167 of 20][isBuffering: false][BW: 0.00][Avg BW: 30.80][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 13 > 10 | DATE:: 2011-12-07 00:31:55.167837 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1213][ft: SMIL] [curTime: 3704.46][curIndex: 0 of 2][Buffer: 34.625 of 20][isBuffering: false][BW: 0.00][Avg BW: 27.14][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 13 > 10 | DATE:: 2011-12-07 00:31:55.692357 | PORT:: 17093
