TICKET:: yDmaMkWWNP | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 41][ft: SMIL] [curTime: 2399.34][curIndex: 0 of 2][Buffer: 35.708 of 20][isBuffering: false][BW: 696.32][Avg BW: 898.63][Peak BW: 1512.76 : Estimated RAW Max Bytes Per Second: 470148.24797843664] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 39 > 24 | DATE:: 2011-12-07 21:10:41.887516 | PORT:: 17094
TICKET:: fyqCcX3mHR | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 7][ft: SMIL] [curTime: 2376.04][curIndex: 0 of 2][Buffer: 51.042 of 20][isBuffering: true][BW: 1228.20][Avg BW: 614.10][Peak BW: 1228.20 : Estimated RAW Max Bytes Per Second: 374309.5238095238] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Buffer.Full | DATE:: 2011-12-07 21:10:41.894529 | PORT:: 17094
TICKET:: fyqCcX3mHR | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 7][ft: SMIL] [curTime: 2376.04][curIndex: 0 of 2][Buffer: 51.042 of 20][isBuffering: false][BW: 1228.20][Avg BW: 614.10][Peak BW: 1228.20 : Estimated RAW Max Bytes Per Second: 374309.5238095238] [videoView][DEBUG]FROM TRAIT BUFFERING CHANGE isBuffering : false time 20 | DATE:: 2011-12-07 21:10:41.895875 | PORT:: 17094
TICKET:: fyqCcX3mHR | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 7][ft: SMIL] [curTime: 2376.04][curIndex: 0 of 2][Buffer: 51.042 of 20][isBuffering: true][BW: 1228.20][Avg BW: 614.10][Peak BW: 1228.20 : Estimated RAW Max Bytes Per Second: 374309.5238095238] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onNetStatus() - event.info.code=NetStream.Buffer.Full | DATE:: 2011-12-07 21:10:41.899005 | PORT:: 17094
TICKET:: fyqCcX3mHR | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 7][ft: SMIL] [curTime: 2376.04][curIndex: 0 of 2][Buffer: 51.042 of 20][isBuffering: true][BW: 1228.20][Avg BW: 614.10][Peak BW: 1228.20 : Estimated RAW Max Bytes Per Second: 374309.5238095238] [OSMF] [INFO] [org.osmf.net.NetLoader] Stream reconnect: onNetStatus: NetStream.Buffer.Full | DATE:: 2011-12-07 21:10:41.899660 | PORT:: 17094
TICKET:: BUVgA2ZShF | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 1230][ft: SMIL] [curTime: 2430.13][curIndex: 0 of 2][Buffer: 580.621 of 20][isBuffering: false][BW: 433.14][Avg BW: 960.84][Peak BW: 3329.19 : Estimated RAW Max Bytes Per Second: 167832.39436619717] [videoView][DEBUG]Detected FPS <1 FPS zero count 2 currentFPS: 0.69 | DATE:: 2011-12-07 21:10:41.901637 | PORT:: 17094
TICKET:: NBRjRYzyzU | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 448][ft: SMIL] [curTime: 2416.27][curIndex: 0 of 2][Buffer: 27.583 of 20][isBuffering: false][BW: 989.87][Avg BW: 1179.54][Peak BW: 2068.88 : Estimated RAW Max Bytes Per Second: 387478.7472035794] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 38 > 24 | DATE:: 2011-12-07 21:10:41.907178 | PORT:: 17094
TICKET:: kH4aUwuMSh | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 618][ft: SMIL] [curTime: 2421.79][curIndex: 0 of 2][Buffer: 28.267 of 20][isBuffering: false][BW: 1378.52][Avg BW: 1152.54][Peak BW: 3519.64 : Estimated RAW Max Bytes Per Second: 482106.5573770492] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 62 > 24 | DATE:: 2011-12-07 21:10:41.910519 | PORT:: 17094
TICKET:: kH4aUwuMSh | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 618][ft: SMIL] [curTime: 2421.79][curIndex: 0 of 2][Buffer: 28.267 of 20][isBuffering: false][BW: 1456.45][Avg BW: 1123.26][Peak BW: 3519.64 : Estimated RAW Max Bytes Per Second: 565996.8253968254] Displaying message - Your BW is Low: 1123.26 | DATE:: 2011-12-07 21:10:41.913646 | PORT:: 17094
TICKET:: uxv2Y9mksB | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 838][ft: SMIL] [curTime: 2416.79][curIndex: 0 of 2][Buffer: 449.468 of 20][isBuffering: false][BW: 1398.48][Avg BW: 975.43][Peak BW: 3085.10 : Estimated RAW Max Bytes Per Second: 665449.8141263941] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 153 > 24 | DATE:: 2011-12-07 21:10:41.981261 | PORT:: 17094
