TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1598][ft: SMIL] [curTime: 1637.448][curIndex: 0][Buffer: 15.305][BW: 209.92][Avg BW: 61.05][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 12 > 10 | DATE:: 2011-12-06 23:57:36.815760 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1599][ft: SMIL] [curTime: 1638.005][curIndex: 0][Buffer: 16.905][BW: 194.96][Avg BW: 62.93][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 13 > 10 | DATE:: 2011-12-06 23:57:37.427040 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1599][ft: SMIL] [curTime: 1638.609][curIndex: 0][Buffer: 17.25][BW: 194.96][Avg BW: 62.93][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 13 > 10 | DATE:: 2011-12-06 23:57:38.019262 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1600][ft: SMIL] [curTime: 1639.166][curIndex: 0][Buffer: 16.667][BW: 153.47][Avg BW: 66.43][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 13 > 10 | DATE:: 2011-12-06 23:57:38.579646 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1600][ft: SMIL] [curTime: 1639.77][curIndex: 0][Buffer: 16.125][BW: 153.47][Avg BW: 66.43][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 12 > 10 | DATE:: 2011-12-06 23:57:39.140448 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1601][ft: SMIL] [curTime: 1640.374][curIndex: 0][Buffer: 15.542][BW: 48.97][Avg BW: 68.01][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 11 > 10 | DATE:: 2011-12-06 23:57:39.766561 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1601][ft: SMIL] [curTime: 1640.931][curIndex: 0][Buffer: 14.917][BW: 48.97][Avg BW: 68.01][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 11 > 10 | DATE:: 2011-12-06 23:57:40.345381 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1604][ft: SMIL] [curTime: 1644.089][curIndex: 0][Buffer: 11.793][BW: 0.00][Avg BW: 68.01][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onPlayStatus() - info.code=NetStream.Play.TransitionComplete | DATE:: 2011-12-06 23:57:43.616007 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1604][ft: SMIL] [curTime: 1644.089][curIndex: 0][Buffer: 11.793][BW: 0.00][Avg BW: 68.01][Peak BW: 642.11] [videoView][DEBUG] onDurationChange:  durationChange duration 5636.551 | DATE:: 2011-12-06 23:57:43.621399 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1604][ft: SMIL] [curTime: 1644.089][curIndex: 0][Buffer: 11.793][BW: 0.00][Avg BW: 68.01][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onPlayStatus() - Transition complete to index: 0 at 1000 kbps | DATE:: 2011-12-06 23:57:43.640856 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1605][ft: SMIL] [curTime: 1644.971][curIndex: 0][Buffer: 10.917][BW: 0.00][Avg BW: 68.01][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 1 failure(s) and only 9.869 seconds have passed since the last failure. | DATE:: 2011-12-06 23:57:44.348817 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1606][ft: SMIL] [curTime: 1645.575][curIndex: 0][Buffer: 10.292][BW: 0.00][Avg BW: 68.01][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 1 failure(s) and only 10.454 seconds have passed since the last failure. | DATE:: 2011-12-06 23:57:44.944742 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1606][ft: SMIL] [curTime: 1646.132][curIndex: 0][Buffer: 9.75][BW: 0.00][Avg BW: 68.01][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 1 failure(s) and only 11.038 seconds have passed since the last failure. | DATE:: 2011-12-06 23:57:45.514077 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1607][ft: SMIL] [curTime: 1647.061][curIndex: 0][Buffer: 14.302][BW: 0.00][Avg BW: 63.68][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onPlayStatus() - info.code=NetStream.Play.TransitionComplete | DATE:: 2011-12-06 23:57:46.569849 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1607][ft: SMIL] [curTime: 1647.061][curIndex: 0][Buffer: 14.302][BW: 0.00][Avg BW: 63.68][Peak BW: 642.11] [videoView][DEBUG] onDurationChange:  durationChange duration 5613.169 | DATE:: 2011-12-06 23:57:46.581924 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1607][ft: SMIL] [curTime: 1647.061][curIndex: 0][Buffer: 14.302][BW: 0.00][Avg BW: 63.68][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onPlayStatus() - Transition complete to index: 0 at 1000 kbps | DATE:: 2011-12-06 23:57:46.597618 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1611][ft: SMIL] [curTime: 1651.426][curIndex: 0][Buffer: 14.125][BW: 0.00][Avg BW: 68.51][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 1 failure(s) and only 16.315 seconds have passed since the last failure. | DATE:: 2011-12-06 23:57:50.835137 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1612][ft: SMIL] [curTime: 1651.984][curIndex: 0][Buffer: 13.541][BW: 0.00][Avg BW: 68.51][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 1 failure(s) and only 16.899 seconds have passed since the last failure. | DATE:: 2011-12-06 23:57:51.385964 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1612][ft: SMIL] [curTime: 1652.587][curIndex: 0][Buffer: 12.958][BW: 0.00][Avg BW: 68.51][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 1 failure(s) and only 17.483 seconds have passed since the last failure. | DATE:: 2011-12-06 23:57:51.974741 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1620][ft: SMIL] [curTime: 1660.761][curIndex: 0][Buffer: 15][BW: 95.14][Avg BW: 74.39][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 1 failure(s) and only 25.666 seconds have passed since the last failure. | DATE:: 2011-12-06 23:58:00.154198 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1621][ft: SMIL] [curTime: 1661.365][curIndex: 0][Buffer: 14.417][BW: 0.00][Avg BW: 74.39][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 1 failure(s) and only 26.251 seconds have passed since the last failure. | DATE:: 2011-12-06 23:58:00.730345 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1625][ft: SMIL] [curTime: 1666.148][curIndex: 0][Buffer: 9.625][BW: 0.00][Avg BW: 74.38][Peak BW: 642.11] Log Status Timer | DATE:: 2011-12-06 23:58:05.533131 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1629][ft: SMIL] [curTime: 1669.538][curIndex: 0][Buffer: 16.542][BW: 112.53][Avg BW: 56.18][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] executeSwitch() - Switching to index 2 at 2000 kbps | DATE:: 2011-12-06 23:58:08.919184 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1629][ft: SMIL] [curTime: 1669.538][curIndex: 0][Buffer: 16.542][BW: 112.53][Avg BW: 56.18][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] checkRules() - Calling for switch to 2 at 2000 kbps | DATE:: 2011-12-06 23:58:08.927039 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1635][ft: SMIL] [curTime: 1676.783][curIndex: 0][Buffer: 10.356][BW: 0.00][Avg BW: 49.66][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onNetStatus() - event.info.code=NetStream.Play.Transition | DATE:: 2011-12-06 23:58:16.288961 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1635][ft: SMIL] [curTime: 1676.783][curIndex: 0][Buffer: 10.356][BW: 0.00][Avg BW: 49.66][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetLoader] Stream reconnect: onNetStatus: NetStream.Play.Transition | DATE:: 2011-12-06 23:58:16.293959 | PORT:: 17093
