TICKET:: wggwHc5to8 | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 686][ft: SMIL] [curTime: 167.79][curIndex: 0 of 2][Buffer: 21.667 of 20][isBuffering: false][BW: 0.87][Avg BW: 116.65][Peak BW: 3438.87 : Estimated RAW Max Bytes Per Second: 21730.912743972447] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-12-07 20:32:52.779181 | PORT:: 17094
TICKET:: wggwHc5to8 | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 686][ft: SMIL] [curTime: 167.79][curIndex: 0 of 2][Buffer: 21.667 of 20][isBuffering: false][BW: 0.87][Avg BW: 116.65][Peak BW: 3438.87 : Estimated RAW Max Bytes Per Second: 21730.912743972447] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onNetStatus() - event.info.code=NetStream.Play.Transition | DATE:: 2011-12-07 20:32:52.780167 | PORT:: 17094
TICKET:: wggwHc5to8 | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 686][ft: SMIL] [curTime: 167.79][curIndex: 0 of 2][Buffer: 21.667 of 20][isBuffering: false][BW: 0.87][Avg BW: 116.65][Peak BW: 3438.87 : Estimated RAW Max Bytes Per Second: 21730.912743972447] [OSMF] [INFO] [org.osmf.net.NetLoader] Stream reconnect: onNetStatus: NetStream.Play.Transition | DATE:: 2011-12-07 20:32:52.780813 | PORT:: 17094
TICKET:: jboJHQveix | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 419][ft: SMIL] [curTime: 164.77][curIndex: 0 of 2][Buffer: 29.083 of 20][isBuffering: false][BW: 173.57][Avg BW: 207.10][Peak BW: 4139.31 : Estimated RAW Max Bytes Per Second: 580518.1347150259] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 2 failure(s) and only 22.479 seconds have passed since the last failure. | DATE:: 2011-12-07 20:32:52.888787 | PORT:: 17094
TICKET:: wPq3pP6fEe | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 133][ft: SMIL] [curTime: 166.12][curIndex: 0 of 2][Buffer: 28.74 of 20][isBuffering: false][BW: 2329.34][Avg BW: 399.60][Peak BW: 2991.29 : Estimated RAW Max Bytes Per Second: 532421.4285714285] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 1 failure(s) and only 1.533 seconds have passed since the last failure. | DATE:: 2011-12-07 20:32:52.919658 | PORT:: 17094
TICKET:: H9KYwNvw8k | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 488][ft: SMIL] [curTime: 164.77][curIndex: 0 of 2][Buffer: 27.487 of 20][isBuffering: false][BW: 2734.04][Avg BW: 415.01][Peak BW: 4321.81 : Estimated RAW Max Bytes Per Second: 505718.20809248555] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] checkRules() - Calling for switch to 0 at 1000 kbps | DATE:: 2011-12-07 20:32:53.028312 | PORT:: 17094
TICKET:: H9KYwNvw8k | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 488][ft: SMIL] [curTime: 164.77][curIndex: 0 of 2][Buffer: 27.487 of 20][isBuffering: false][BW: 2734.04][Avg BW: 415.01][Peak BW: 4321.81 : Estimated RAW Max Bytes Per Second: 505718.20809248555] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] executeSwitch() - Switching to index 0 at 1000 kbps | DATE:: 2011-12-07 20:32:53.029101 | PORT:: 17094
TICKET:: XPYetI3kyD | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 16][ft: SMIL] [curTime: 165.02][curIndex: 0 of 2][Buffer: 8.499 of 20][isBuffering: false][BW: 1787.94][Avg BW: 1142.46][Peak BW: 1807.23 : Estimated RAW Max Bytes Per Second: 477778.7056367432] detected low buffer - displaying message - buffer: 8 | DATE:: 2011-12-07 20:32:53.040569 | PORT:: 17094
TICKET:: GZXW5NMdVv | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 483][ft: SMIL] [curTime: 168.41][curIndex: 0 of 2][Buffer: 23.042 of 20][isBuffering: false][BW: 164.16][Avg BW: 237.44][Peak BW: 3421.90 : Estimated RAW Max Bytes Per Second: 537056.7010309278] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 19 > 10 | DATE:: 2011-12-07 20:32:53.082874 | PORT:: 17094
TICKET:: F2RbzGiBaD | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 57][ft: SMIL] [curTime: 157.04][curIndex: 0 of 2][Buffer: 34.042 of 20][isBuffering: false][BW: 551.85][Avg BW: 896.40][Peak BW: 1915.73 : Estimated RAW Max Bytes Per Second: 598787.356321839] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 46 > 24 | DATE:: 2011-12-07 20:32:53.120635 | PORT:: 17094
